Row Labels,Count of user_session,Sum of price
fisherprice,6,201.53
fisher-price,85,3784.2
fissler,8,2981.87
fissman,34,2373.14
fit,8,365.02
fitbit,72,12971.52
fitchbaby,10,499.12
fitlux,71,103834.04
fitrider,5,2379.75
fit-rx,9,118.16
fitwell,1,113.49
fivestars,6,139.01
fixsen,3,492.3
flama,406,58363.39
flambeau,27,2802.27
flashpoint,8,203.84
flavia,19,6183.81
fleet,2,52.76
flexter,7,630.63
fli,32,4530.24
flight,151,10513.72
floralis,1,2.45
florentina,10,1379.77
floresan,2,8.15
flormar,11,76.94
fly,545,187901.24
focal,105,25180.8
foligain,5,140.95
fondital,16,34824.67
force,4155,642555.01
forcekraft,86,7927.54
ford,2,132.51
forlux,16,1313.97
forminabanyo,1,286.17
fornelli,20,6031.18
forsage,7,708.38
fortnite,6,275.8
forward,95,9626.55
forza,30,9098.99
fossil,228,44185.1
fostex,4,585.15
fotomate,1,167.31
fotorama,3,89.69
fox,4,37.08
framesi,16,631.04
franke,37,12952.81
freedom,1,19.82
freefeet,3,1108.65
freeway,7,178.36
fresh,5,603.6
freya,1,31.76
frozen,22,609.2
fsd,2,61.78
fubag,219,92154.34
fuel,3,4710.55
fujida,56,4837.92
fujifilm,218,35032.74
funville,9,207.18
futura,5,257.06
gabriella,1,108.1
ga-de,74,1205.32
gaga,12,356.62
gaint,7,3061.33
gainward,42,15586.03
galacticos,6,29.08
galanz,80,5459.94
galaxy,1477,39893
gamdias,26,3311.67
gamemax,60,9502.33
gamma,86,4245.4
garant,8,30.93
garanterm,69,6739.18
gardena,31,5672.72
garmin,1713,1297748.16
garnier,59,201.36
garrett,164,116459.54
garvalin,154,9885.02
gauss,7,47.36
gazpromneft,109,1244.76
g-cube,8,122.05
gedore,7,404.66
gefest,1555,312791.95
gehwol,17,298.39
geil,215,12892.07
geitaran,9,1036.06
gelflex,22,368.06
gembird,45,440.12
gemei,36,786.35
gemsy,1,621.3
genau,213,65816.83
genebre,15,2937.88
genesis,272,14663.65
geneticlabnutrition,7,112.23
genius,111,2317.59
genki,14,180.2
genlog,31,8014.04
geoffanderson,1,44.4
gerat,1075,53248.8
gerber,58,3538.44
gerbor,12,2267.28
gerdamix,3,229.86
gesso,7,387.1
gewa,49,5615.32
gezatone,121,8212.89
gf,206,136996.54
giant,349,401885.64
gigabyte,939,238197.42
gigawatt,110,10565.26
gigazone,4,39.28
gimi,33,730.48
ginzza,1,128.68
gionee,95,9700.85
giornonotte,30,20440.82
gipfel,361,30746.34
gislaved,280,23388.39
giti,1,90.09
givenchy,163,17333.65
gk,3,63.72
gkhair,90,3750.9
gladen,7,1386.13
glam-forever,2,43.24
glamglow,56,2706.91
glamvers,15,2241.97
global,33,237.6
globber,34,3965.76
globex,4,298.48
globo,2,200.78
